yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
2019,NLDS1,adamsma01,WAS,NL,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,ALWC,adriaeh01,MIN,AL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,NLDS1,adriaeh01,ATL,NL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,NLCS,adriaeh01,ATL,NL,6,6,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0
2021,WS,adriaeh01,ATL,NL,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,NLCS,aguilje01,MIL,NL,7,26,4,7,3,0,1,4,0,0,2,11,1,0,0,0,0
2018,NLDS1,aguilje01,MIL,NL,3,11,1,1,0,0,1,1,0,0,1,4,0,0,0,0,1
2020,NLWC3,aguilje01,MIA,NL,2,8,1,2,1,0,1,2,0,0,0,2,0,1,0,0,1
2020,NLDS2,aguilje01,MIA,NL,3,13,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0
2024,ALWC2,akinke01,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,NLWC4,akiyash01,CIN,NL,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015,ALDS2,alberha01,TEX,AL,3,10,0,2,1,0,0,2,0,0,0,2,0,0,0,1,0
2017,NLDS2,alberma01,WAS,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,NLDS2,albieoz01,ATL,NL,4,15,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,NLDS2,albieoz01,ATL,NL,5,20,3,5,0,0,1,3,0,0,2,3,0,0,0,1,0
2020,NLWC4,albieoz01,ATL,NL,2,8,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0
2020,NLDS2,albieoz01,ATL,NL,3,12,2,2,1,0,0,0,0,0,1,2,0,0,0,0,0
2020,NLCS,albieoz01,ATL,NL,7,27,5,9,1,0,2,4,1,0,2,6,0,0,0,1,0
2021,NLCS,albieoz01,ATL,NL,6,25,7,7,1,0,0,1,2,0,2,5,0,0,0,0,0
2021,NLDS1,albieoz01,ATL,NL,4,17,1,4,2,0,0,1,0,0,0,4,0,0,0,0,0
2021,WS,albieoz01,ATL,NL,6,21,4,5,0,0,0,0,1,0,4,5,0,0,0,0,0
2023,NLDS1,albieoz01,ATL,NL,4,15,0,4,0,0,0,1,0,1,2,3,0,0,0,0,1
2024,NLWC2,albieoz01,ATL,NL,2,8,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0
2020,NLDS2,alcansa01,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,NLWC3,alcansa01,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,NLDS2,alexasc01,LAN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,WS,alexasc01,LAN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,NLDS2,alfarjo01,MIA,NL,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,WS,allenco01,CLE,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,ALCS,allenco01,CLE,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,ALDS2,allenco01,CLE,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ALDS1,allenco01,CLE,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ALDS2,allenco01,CLE,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
