yearkey,leaguekey,teamkey,parkkey,spanfirst,spanlast,games,openings,attendance
2015,NL,CIN,CIN09,2015-04-06,2015-10-01,81,81,2419506
2016,NL,CIN,CIN09,2016-04-04,2016-10-02,81,81,1894085
2017,NL,CIN,CIN09,2017-04-03,2017-09-24,81,81,1836917
2018,NL,CIN,CIN09,2018-03-30,2018-09-30,81,81,1629356
2019,NL,CIN,CIN09,2019-03-28,2019-09-26,79,79,1775396
2019,NL,CIN,MNT01,2019-04-13,2019-04-14,2,2,33679
2020,NL,CIN,CIN09,2020-07-24,2020-09-23,29,0,0
2021,NL,CIN,CIN09,2021-04-01,2021-09-27,81,81,1505024
2022,NL,CIN,CIN09,2022-04-12,2022-10-05,80,79,1387947
2022,NL,CIN,DYE01,2022-08-11,2022-08-11,1,1,7823
2023,NL,CIN,CIN09,2023-03-30,2023-09-24,81,81,2038302
2024,NL,CIN,CIN09,2024-03-28,2024-09-22,81,81,2024178
2015,AL,CLE,CLE08,2015-04-10,2015-10-04,80,78,1388905
2016,AL,CLE,CLE08,2016-04-05,2016-09-25,81,81,1591667
2017,AL,CLE,CLE08,2017-04-11,2017-10-01,81,81,2048138
2018,AL,CLE,CLE08,2018-04-06,2018-09-23,81,80,1926701
2019,AL,CLE,CLE08,2019-04-01,2019-09-22,81,79,1738642
2020,AL,CLE,CLE08,2020-07-24,2020-09-27,30,0,0
2021,AL,CLE,CLE08,2021-04-05,2021-09-27,80,76,1112536
2021,AL,CLE,WIL02,2021-08-22,2021-08-22,1,1,1832
2022,AL,CLE,CLE08,2022-04-15,2022-10-05,81,76,1295870
2023,AL,CLE,CLE08,2023-04-07,2023-09-27,81,78,1834068
2024,AL,CLE,CLE08,2024-04-08,2024-09-28,80,79,2056264
2015,NL,COL,DEN02,2015-04-10,2015-09-27,81,80,2506789
2016,NL,COL,DEN02,2016-04-08,2016-10-02,81,81,2602524
2017,NL,COL,DEN02,2017-04-07,2017-10-01,81,81,2953650
2018,NL,COL,DEN02,2018-04-06,2018-09-30,81,81,3015880
2019,NL,COL,DEN02,2019-04-05,2019-09-29,81,81,2993244
2020,NL,COL,DEN02,2020-07-31,2020-09-20,30,0,0
2021,NL,COL,DEN02,2021-04-01,2021-09-29,81,78,1938645
2022,NL,COL,DEN02,2022-04-08,2022-09-25,81,80,2597428
2023,NL,COL,DEN02,2023-04-06,2023-10-01,81,81,2607935
2024,NL,COL,DEN02,2024-04-05,2024-09-29,79,79,2500420
2024,NL,COL,MEX02,2024-04-27,2024-04-28,2,2,39775
