playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
allengr01,2020,SDN,NL,NLDS1,LF,1,0,3,0,0,0,0,0,,,
almonye01,2022,LAN,NL,NLDS2,P,3,0,7,0,0,0,0,0,,,
almoral01,2016,CHN,NL,NLCS,LF,2,0,9,0,0,0,0,0,,,
almoral01,2016,CHN,NL,NLCS,RF,1,1,24,2,0,0,0,0,,,
almoral01,2016,CHN,NL,NLDS1,RF,1,0,15,1,1,0,1,0,,,
almoral01,2016,CHN,NL,WS,RF,1,0,6,0,0,0,0,0,,,
almoral01,2017,CHN,NL,NLCS,CF,4,4,96,6,0,0,0,0,,,
almoral01,2017,CHN,NL,NLDS2,CF,4,2,45,5,0,0,0,0,,,
almoral01,2018,CHN,NL,NLWC,CF,1,1,39,5,0,0,0,0,,,
alonspe01,2022,NYN,NL,NLWC1,1B,3,3,81,19,2,0,0,0,,,
alonspe01,2024,NYN,NL,NLDS1,1B,4,4,107,30,1,0,1,,,,
alonspe01,2024,NYN,NL,NLCS,1B,6,6,156,38,5,1,1,,,,
alonspe01,2024,NYN,NL,NLWC1,1B,3,3,78,28,1,0,3,,,,
alonsyo01,2018,CLE,AL,ALDS2,1B,2,2,48,18,2,0,3,0,,,
altavda01,2020,SDN,NL,NLDS1,P,2,0,6,1,0,0,0,0,,,
altuvjo01,2015,HOU,AL,ALDS1,2B,5,5,129,8,14,0,2,0,,,
altuvjo01,2015,HOU,AL,ALWC,2B,1,1,27,1,1,0,0,0,,,
altuvjo01,2017,HOU,AL,ALCS,2B,7,7,180,8,16,1,2,0,,,
altuvjo01,2017,HOU,AL,ALDS2,2B,4,4,105,1,9,0,1,0,,,
altuvjo01,2017,HOU,AL,WS,2B,7,7,192,12,15,0,4,0,,,
altuvjo01,2018,HOU,AL,ALCS,2B,2,2,51,2,2,0,1,0,,,
altuvjo01,2018,HOU,AL,ALDS2,2B,3,3,81,3,3,0,0,0,,,
altuvjo01,2019,HOU,AL,ALCS,2B,6,6,165,3,7,0,1,0,,,
altuvjo01,2019,HOU,AL,ALDS1,2B,5,5,129,7,11,0,5,0,,,
altuvjo01,2019,HOU,AL,WS,2B,7,7,189,14,8,1,4,0,,,
altuvjo01,2020,HOU,AL,ALCS,2B,7,7,180,3,18,3,3,0,,,
altuvjo01,2020,HOU,AL,ALDS2,2B,4,4,108,5,12,0,6,0,,,
altuvjo01,2020,HOU,AL,ALWC3,2B,2,2,54,1,3,1,0,0,,,
altuvjo01,2021,HOU,AL,ALCS,2B,6,6,159,6,8,2,3,0,,,
altuvjo01,2021,HOU,AL,ALDS1,2B,4,4,105,4,14,0,4,0,,,
altuvjo01,2021,HOU,AL,WS,2B,6,6,156,4,11,0,3,0,,,
altuvjo01,2022,HOU,AL,ALCS,2B,4,4,108,2,8,1,0,0,,,
altuvjo01,2022,HOU,AL,ALDS2,2B,3,3,108,2,7,0,1,0,,,
altuvjo01,2022,HOU,AL,WS,2B,6,6,162,6,11,0,3,0,,,
altuvjo01,2023,HOU,AL,ALCS,2B,4,4,108,6,10,1,2,0,,,
altuvjo01,2023,HOU,AL,ALDS2,2B,2,2,54,6,6,0,3,0,,,
altuvjo01,2024,HOU,AL,ALWC1,2B,2,2,54,1,8,1,1,,,,
alvarfr01,2024,NYN,NL,NLDS1,C,4,4,101,35,2,0,0,0,0,3,1
alvarfr01,2024,NYN,NL,NLCS,C,6,6,147,50,1,1,0,0,2,6,1
alvarfr01,2024,NYN,NL,NLWC1,C,3,3,78,22,2,0,0,0,0,5,1
alvarjo02,2021,SFN,NL,NLDS2,P,1,0,1,0,0,0,0,0,,,
alvarjo03,2020,TBA,AL,ALCS,P,2,0,5,0,0,0,0,0,,,
alvarjo03,2022,PHI,NL,NLCS,P,3,0,9,0,0,0,0,0,,,
alvarjo03,2022,PHI,NL,NLDS1,P,3,0,11,1,0,0,0,0,,,
alvarjo03,2022,PHI,NL,NLWC2,P,2,0,4,0,0,0,0,0,,,
alvarjo03,2022,PHI,NL,WS,P,4,0,10,0,0,0,0,0,,,
alvarjo03,2023,PHI,NL,NLCS,P,4,0,12,0,1,0,0,0,,,
alvarjo03,2023,PHI,NL,NLDS1,P,3,0,9,0,1,0,0,0,,,
alvarjo03,2023,PHI,NL,NLWC2,P,1,0,3,0,0,0,0,0,,,
